ID,RC,Trang thai,Status raw,Ma tram,Serial,Ghi chu
"=""RC-QWJPXYE1QJU6L""","RC-QWJPXYE1QJU6L","KTV đã nhận","accepted","C.TNG0407.014","=""252731002908""",""
"=""RC-R1D31ON79LCD""","RC-R1D31ON79LCD","KTV đã nhận","accepted","C.TNG0066.014","=""251331000023""",""
"=""RC-3LNWX6YKDDHL7""","RC-3LNWX6YKDDHL7","KTV đã nhận","accepted","C.TNG0075.004","=""244702000119""",""
"=""RC-3LNJD9160PS4P5""","RC-3LNJD9160PS4P5","KTV đã nhận","accepted","C.TNG11547.001","=""254801000310""",""
"=""RC-XR1O6KL6XJHK7""","RC-XR1O6KL6XJHK7","KTV đã nhận","accepted","C.VPH0135.001","=""244500004453""",""
"=""RC-2153252MGMFXO""","RC-2153252MGMFXO","KTV đã nhận","accepted","C.VPH0195.001","=""244500007863""",""
"=""RC-JPKY2MGOXDFMR""","RC-JPKY2MGOXDFMR","KTV đã nhận","accepted","C.PTH0239.001","=""252501000792""",""
"=""RC-2152G56W7OI0L""","RC-2152G56W7OI0L","KTV đã nhận","accepted","C.PTH5003.001","=""251400002925""",""
"=""RC-XR2740RM3QF5P""","RC-XR2740RM3QF5P","KTV đã nhận","accepted","C.PTH0227.001","=""243200003504""",""
"=""RC-O7O0P35G4MFXR""","RC-O7O0P35G4MFXR","KTV đã nhận","accepted","C.LCA0189.001","=""251800001146""",""
"=""RC-7OJ5GYM3N7CPMM""","RC-7OJ5GYM3N7CPMM","KTV đã nhận","accepted","C.BDU3264.001","=""251400002828""",""
"=""RC-1W59YEPYW9SR3""","RC-1W59YEPYW9SR3","KTV đã nhận","accepted","C.HPH0100.013","=""243200000741""",""
"=""RC-21523GWRGDH1E9""","RC-21523GWRGDH1E9","KTV đã nhận","accepted","C.HPH0388.002","=""252631002235""",""
"=""RC-6EJOJ0OER0UPY""","RC-6EJOJ0OER0UPY","KTV đã nhận","accepted","C.HPH0317.001","=""252601000482""",""
